Global frequency set at 1000000000000 ticks per second
Forcing maxCoalescedReqs to 32 (TLB assoc.) 
Forcing maxCoalescedReqs to 32 (TLB assoc.) 
Forcing maxCoalescedReqs to 32 (TLB assoc.) 
Forcing maxCoalescedReqs to 32 (TLB assoc.) 
Forcing maxCoalescedReqs to 32 (TLB assoc.) 
Forcing maxCoalescedReqs to 32 (TLB assoc.) 
Forcing maxCoalescedReqs to 32 (TLB assoc.) 
Forcing maxCoalescedReqs to 32 (TLB assoc.) 
gem5 Simulator System.  https://www.gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version DEVELOP-FOR-23.1
gem5 compiled Mar 12 2024 02:02:35
gem5 started Mar 18 2024 18:54:14
gem5 executing on 68f60b0f0454, pid 1
command line: build/VEGA_X86/gem5.opt --debug-flag=RubyHitMiss,GPUExec --debug-start=351477796486 --debug-end=351479275560 configs/example/apu_se.py -n 3 --dgpu --gfx-version=gfx900 --num-compute-units=4 --cu-per-sa=4 --num-gpu-complex=1 --reg-alloc-policy=dynamic --num-tccs=8 --num-dirs=64 --mem-size=16GB --mem-type=HBM_2000_4H_1x64 --vreg-file-size=16384 --sreg-file-size=800 --tcc-size=4MB --gpu-clock=1801MHz --ruby-clock=1000MHz --vrf_lm_bus_latency=6 --mem-req-latency=69 --mem-resp-latency=69 --mandatory_queue_latency=1 --max-cu-tokens=160 --max-coalesces-per-cycle=10 --sqc-size=16kB --tcp-size=16kB --scalar-mem-req-latency=28 --TCP_latency=4 --tcp-assoc=16 --tcp-num-banks=16 --TCC_latency=121 --tcc-assoc=16 --tcc-tag-access-latency=1 --tcc-data-access-latency=1 --tcp-rp=FIFORP --WB_L2 --tcc-rp=FIFORP -c L1_nop

info: Standard input is not a terminal, disabling listeners.
Num SQC =  1 Num scalar caches =  1 Num CU =  4
351477798000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6720, line 0x23a6700]
351477800000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6720, line 0x23a6700]
351477802000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x38b18, line 0x38b00]
351477804000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x4fa7740, line 0x4fa7740]
351477806000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x10cf078, line 0x10cf040]
351477808000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x4fa7748, line 0x4fa7740]
351477810000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x4fa7748, line 0x4fa7740]
351477812000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x4fa7740, line 0x4fa7740]
351477814000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x38b18, line 0x38b00]
351477816000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0xfaa3f0, line 0xfaa3c0]
351477818000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0xfaa3f0, line 0xfaa3c0]
351477820000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0xfaa3f8, line 0xfaa3c0]
351477822000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0xf90c20, line 0xf90c00]
351477824000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0xc62610, line 0xc62600]
351477826000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6710, line 0x23a6700]
351477828000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6710, line 0x23a6700]
351477830000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6718, line 0x23a6700]
351477832000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6718, line 0x23a6700]
351477834000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6718, line 0x23a6700]
351477836000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6720, line 0x23a6700]
351477838000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6720, line 0x23a6700]
351477838665: system.ruby.sqc_cntrl0: GPU_VIPER-SQC.sm:330: in SQC uu_profileDataMiss
351477838665: system.ruby.sqc_cntrl0.L1cache: profiledemandMiss 9351477840000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6720, line 0x23a6700]
351477842000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x38b18, line 0x38b00]
351477844000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x4fa7740, line 0x4fa7740]
351477846000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x10cf078, line 0x10cf040]
351477848000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x4fa7748, line 0x4fa7740]
351477850000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x4fa7748, line 0x4fa7740]
351477852000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x4fa7740, line 0x4fa7740]
351477854000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x38b18, line 0x38b00]
351477856000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0xfaa3f0, line 0xfaa3c0]
351477858000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0xfaa3f0, line 0xfaa3c0]
351477860000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0xfaa3f8, line 0xfaa3c0]
351477862000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0xf90c20, line 0xf90c00]
351477864000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0xc62610, line 0xc62600]
351477866000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6710, line 0x23a6700]
351477868000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6710, line 0x23a6700]
351477870000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6718, line 0x23a6700]
351477872000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6718, line 0x23a6700]
351477874000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6718, line 0x23a6700]
351477876000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6720, line 0x23a6700]
351477878000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6720, line 0x23a6700]
351477880000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6720, line 0x23a6700]
351477882000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x38b18, line 0x38b00]
351477884000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x4fa7740, line 0x4fa7740]
351477886000: system.ruby.cp_cntrl1.sequencer: Cache hit at [0x10d5ec8, line 0x10d5ec0]
351477886000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x10cf078, line 0x10cf040]
351477888000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x4fa7748, line 0x4fa7740]
351477888000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0x10d5ec8, line 0x10d5ec0]
351477890000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0x238afd0, line 0x238afc0]
351477890000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x4fa7748, line 0x4fa7740]
351477892000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x4fa7740, line 0x4fa7740]
351477892000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0x238afd0, line 0x238afc0]
351477894000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0x238afd0, line 0x238afc0]
351477894000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x38b18, line 0x38b00]
351477896000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0xfaa3f0, line 0xfaa3c0]
351477896000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0x238afd8, line 0x238afc0]
351477898000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0x238afd8, line 0x238afc0]
351477898000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0xfaa3f0, line 0xfaa3c0]
351477900000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0xfaa3f8, line 0xfaa3c0]
351477900000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0x239bc68, line 0x239bc40]
351477902000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0xf9b290, line 0xf9b280]
351477902000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0xf90c20, line 0xf90c00]
351477904000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0xc62610, line 0xc62600]
351477904000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0xf9b290, line 0xf9b280]
351477906000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0xf9b298, line 0xf9b280]
351477906000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6710, line 0x23a6700]
351477908000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6710, line 0x23a6700]
351477908000: system.ruby.cp_cntrl1.L1Icache: profiledemandMiss 243351477910000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6718, line 0x23a6700]
351477912000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6718, line 0x23a6700]
351477914000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6718, line 0x23a6700]
351477916000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6720, line 0x23a6700]
351477918000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6720, line 0x23a6700]
351477920000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6720, line 0x23a6700]
351477922000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x38b18, line 0x38b00]
351477924000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x4fa7740, line 0x4fa7740]
351477926000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x10cf078, line 0x10cf040]
351477926000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0xfaa0d0, line 0xfaa0c0]
351477928000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0xfaa0d0, line 0xfaa0c0]
351477928000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x4fa7748, line 0x4fa7740]
351477930000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x4fa7748, line 0x4fa7740]
351477930000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0xfaa0d8, line 0xfaa0c0]
351477932000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0xfa80a0, line 0xfa8080]
351477932000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x4fa7740, line 0x4fa7740]
351477934000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x38b18, line 0x38b00]
351477934000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0x4aea0, line 0x4ae80]
351477936000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0xc906d0, line 0xc906c0]
351477936000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0xfaa3f0, line 0xfaa3c0]
351477938000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0xfaa3f0, line 0xfaa3c0]
351477938000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0xc906d0, line 0xc906c0]
351477940000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0xc906d8, line 0xc906c0]
351477940000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0xfaa3f8, line 0xfaa3c0]
351477942000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0xf90c20, line 0xf90c00]
351477942000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0x53ef8, line 0x53ec0]
351477944000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0xc906d8, line 0xc906c0]
351477944000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0xc62610, line 0xc62600]
351477946000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6710, line 0x23a6700]
351477946000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0xc906e0, line 0xc906c0]
351477948000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0xc84e48, line 0xc84e40]
351477948000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6710, line 0x23a6700]
351477950000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6718, line 0x23a6700]
351477950000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0xc906e0, line 0xc906c0]
351477952000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0xc906e0, line 0xc906c0]
351477952000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6718, line 0x23a6700]
351477954000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6718, line 0x23a6700]
351477954000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0xc906e8, line 0xc906c0]
351477956000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0xc906e8, line 0xc906c0]
351477956000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6720, line 0x23a6700]
351477957000: system.ruby.dir_cntrl32.L3CacheMemory: profiledemandMiss 114351477958000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6720, line 0x23a6700]
351477958000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0xc906e8, line 0xc906c0]
351477960000: system.ruby.cp_cntrl1.sequencer: Cache miss at [0xc906f0, line 0xc906c0]
351477960000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6720, line 0x23a6700]
351477962000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x38b18, line 0x38b00]
351477962000: system.ruby.cp_cntrl1.L2cache: profiledemandMiss 517351477962000: system.ruby.cp_cntrl1.L1D0cache: profiledemandMiss 278351477962430: system.ruby.tcc_cntrl0.L2cache: profiledemandMiss 37351477962430: system.ruby.tcc_cntrl0: GPU_VIPER-TCC.sm:639: in TCC Miss profile
351477964000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x4fa7740, line 0x4fa7740]
351477966000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x10cf078, line 0x10cf040]
351477968000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x4fa7748, line 0x4fa7740]
351477970000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x4fa7748, line 0x4fa7740]
351477972000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x4fa7740, line 0x4fa7740]
351477974000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x38b18, line 0x38b00]
351477976000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0xfaa3f0, line 0xfaa3c0]
351477978000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0xfaa3f0, line 0xfaa3c0]
351477980000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0xfaa3f8, line 0xfaa3c0]
351477982000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0xf90c20, line 0xf90c00]
351477984000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0xc62610, line 0xc62600]
351477986000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6710, line 0x23a6700]
351477988000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6710, line 0x23a6700]
351477990000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6718, line 0x23a6700]
351477992000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6718, line 0x23a6700]
351477994000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6718, line 0x23a6700]
351477996000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6720, line 0x23a6700]
351477998000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6720, line 0x23a6700]
351478000000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x23a6720, line 0x23a6700]
351478002000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x38b18, line 0x38b00]
351478004000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x4fa7740, line 0x4fa7740]
351478006000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x10cf078, line 0x10cf040]
351478008000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x4fa7748, line 0x4fa7740]
351478010000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x4fa7748, line 0x4fa7740]
351478012000: system.ruby.cp_cntrl0.sequencer: Cache miss at [0x4fa7740, line 0x4fa7740]
